speaker,timestamp,words,End Time
Lora Albright,00:41:34,"In Jack's Canyon? It was a, as I think about it, they there was some very fine farmers there, but there was also but we would call in those days hillbillies and, they never expected to get beyond the eighth grade. And as soon as they could cipher, the boys would go into the fields to, to earn a living.",00;42;02;09
Lora Albright,00:42:02,"I mean, it was one of these things. They weren't interested in it until I, The new thing in the fields at that time was alfalfa. Believe it or not, it was. It was a new crop, and they turned their cows into alfalfa that were used to it, and it killed them. And they figured that it was, poison.",00;42;24;00
Lora Albright,00:42:24,"But, you see, it was just because, this and so I said, well, there must be some reason that alfalfa is coming to the front, and I and they said, well, does your, father have, this alfalfa? And I said, no, he doesn't. He has Timothy and Clover because he was raised in Maine and and the crop he grew up with was Timothy and Clover.",00;42;46;05
Lora Albright,00:42:46,"But I said, the Timothy you seed it, the clover will also cause the same thing that you alfo your with alfalfa is doing. But he puts Timothy with it. I said, why don't you write to the university? Because in those days that's where we got our. We didn't all have the county agents, you see, in those days, long ago.",00;43;06;00
Lora Albright,00:43:06,"So that's this would be. Well, I'm 78 and I was 18 at the time. So you can see it 60 years ago. And it was just starting out. And, so they would find out and silo, they were, they were tremendously interested in silage, you know. And so I wasn't too interested in it, but I knew where to find the material.",00;43;26;06
Lora Albright,00:43:26,"And this is, this is the role that the teachers expected to know did in one day strikes.",00;43;32;00
Sam Schrager,00:43:32,"Me about this, though, is that, it must be a pretty fine line between, their people's accepting, the advice or information and feeling that, for instance, if you if you if you're yourself feel that the milk isn't queens, it ought to be. How do you tell the people who's milk is in the claim?",00;43;53;16
Lora Albright,00:43:53,"I put it on the sewing bee basis. Some of the, of this goes back a long time. My grandmother was a practical nurse. My grandmother, Lockwood. I had two parents because my grandmother was only 14 when she married my grandfather, founder, and, hay camp and, in a hay camp, her father was, cutting hay for the logging horses and, you know, hay camp in Minnesota out of Howard Lake and, he felt that he just had to have that little girl for a wife.",00;44;36;15
Lora Albright,00:44:36,"And, at the time, why, he was, driving oxen in this logging thing and the big yoke of oxen. Have you ever seen a yoke of oxen really work in the woods? You just ought to, because you never, you know, you see, they don't have any lines on them or anything. They're just a yoke of oxen.",00;44;54;23
Lora Albright,00:44:54,"They'll have a goat. They call it a goat, and it's the one that grandpa had was about as long as a as a broomstick. And it had, a nail in the end of it. And then they'd, they'd, whittle off that nail file off that nail and make a prod about like this. It would probably oxen if they needed discipline at all.",00;45;15;14
Lora Albright,00:45:15,"And, and make them mine, because an ox is a huge animal, and he's strong as all get out. And all that he's attached to is this yoke around his neck. And then the chain or the tongue that's between the two of them, you see. And you, you you discipline them with the goad and the voice, and you guide them and urge them and sympathize with them and drive them by the voice.",00;45;43;10
Lora Albright,00:45:43,"And then grandpas had, stubbed off horns. They were big, big, tan ones, as I can just barely remember. But anyway. And, he had a chain around those horns, and then he would take if he took him into a barn or what have you. And then they were tied with a chain that would snap into that chain around the horns.",00;46;02;18
Lora Albright,00:46:02,"But, it's a remarkable thing. And I've never seen beast work any harder, except perhaps the little mules that Raleigh and I had when we were first married. That the way those animals work for their master's is just out of this world. You just never would believe it. But, at the same time, being brutes, they have to be disciplined.",00;46;20;28
Lora Albright,00:46:20,"And they have to respect their master, and their master has to take care of them. And I mean, after all.",00;46;26;25
Sam Schrager,00:46:26,"But we're talking about, the, the souring milk or how, oh, the milk. I see what you see.",00;46;38;15
Lora Albright,00:46:38,"What? Oh, yes. And I, I started to tell you about the cabinet, the, my grandfather built this cabinet because he was having sour milk trouble in the cellar. They'd shut it up and, it was a big square, as I remember about this deep and a box so wide and about so high. And he, he put burlap sacks, gunny sacks around the on it, and it had a door up them open like a screen door.",00;47;06;07
Lora Albright,00:47:06,"We can have screen now, but when that screen, those days when they'd put a dish of water on the top with rags, it would come down and soak this. And then it was it was a cooling edge. Well, because kids didn't want to drink that sour milk. And the medicine, Sam, that that a milk would get sour in a pan.",00;47;24;29
Lora Albright,00:47:24,"You set it in pans for it to raise because lots of people couldn't afford, separators. We were lucky. And the minute that milk sours, then the flies blow it and you've got maggots on the top of it. Well, then some of the people were commencing to say, oh, that sour milk, that ungodly sour milk, that sour milk.",00;47;45;22
Lora Albright,00:47:45,"You can, you know, you can't bear it. But buttermilk was it was acceptable. Why? Because buttermilk was taken care of and it didn't get a McGeady. And it was usually, kept in the coolest place that they had in this cooler or cellar or, and then ice. My father for instance, we had a pond, a couple of ponds, we'd call the lakes.",00;48;08;16
Lora Albright,00:48:08,"Nice board, but there were ponds because he dug them out with a horse and a scraper. And then that we would cut the ice in there. Well, I've. Since I've grown up, I've been smart. I've always wondered how many bugs we did because we took the ice out of the pond where the animals come down to drink and what have you.",00;48;25;14
Lora Albright,00:48:25,"But my father had this one pond with an outlet that came down into a trough. The animals didn't get around the pond. And so this is what you took you the sour milk, because it wasn't healthy. And we wanted to keep it clean, because when there's dirt in the milk, there's bacteria there. And, some of my kids would even think, well, what's a bacteria?",00;48;49;08
Lora Albright,00:48:49,"Is it a bug? And the the active children said, yes, they're bugs, but you don't do this with kids because especially rural kids, they're pretty smart. And they'll say, well, what kind of bugs? You know, and then then you're stuck. I mean, and so I had to find out about germs and to tell them that milk because that the Albion, because of the Constitution and because it was a natural food, was also a natural food for germs and therefore must be kept clean and sanitary.",00;49;19;04
Lora Albright,00:49:19,"If it was fit for human consumption. Otherwise, let it sour and do make your your cottage cheese if you want to. And,",00;49;28;29
Sam Schrager,00:49:29,"So so you she, she tells me from what you've been saying before, and you worked directly with the parents as well. Yeah.",00;49;37;18
Lora Albright,00:49:37,"Because and this letter and this literary thing, it gave me an entry there and then it's always, they've invite the teacher for Sunday dinner. Goodness sakes. And we would sing and we would do all kinds of things. And I would go to a conference, for instance, the teachers conference. And when I came home, I'd at least try to have one new idea that I could share with the women.",00;50;02;21
Lora Albright,00:50:02,"I mean, they were hungry, they had real fancy stitches, and they did all this beautiful handwork and and all of this. And it's amazing how those country women could make their own clothes and make them stylish and make them look nice and and keep themselves clean, and yet have to scrub it on a scrub board in an old backyard full of.",00;50;26;05
Lora Albright,00:50:26,Them.,00;50;28;14
Sam Schrager,00:50:28,"What do you what you seem to be saying is that there was a great deal of longing for a better life, despite the fact that people were living in pretty primitive conditions.",00;50;37;01
Lora Albright,00:50:37,"Real primitive conditions. Es. And they knew the sadness of losing youngsters through, measles and whooping cough and dysentery. Now, I know now that some of that dysentery probably was infectious hepatitis and a few other things that we learned later. But in those days, they, they had what they call liver pills, which was, glorified laxative.",00;51;06;01
Lora Albright,00:51:06,"Really. And they would clean out those poor little kids of system. And I, I suppose I'm really surprised they didn't lose more than they did. Although the mothers and fathers were really clever and there are many, many native medicinal plants right out here now that they used very well, like the watercress, for instance. Now we, we realize that it's a spring purgative and, and so they would get this and then the, the dandelions for instance, and the male and then I've got all of these, Jerusalem artichokes down here and all winter long that those were, those were wonderful things for kids to eat finger for.",00;51;51;23
Lora Albright,00:51:51,"And as they were, it was preventative medicine. Like, you eat your carrots and your greens now and your apples, you know, to keep from the.",00;51;57;21
Sam Schrager,00:51:57,"Mountain, too. And the medicine, the mallow was also.",00;52;01;12
Lora Albright,00:52:01,"Yeah, yeah. The, the, Jerusalem artichokes. Do you know them?",00;52;09;19
Sam Schrager,00:52:09,"Yes, I think I do.",00;52;11;03
Lora Albright,00:52:11,"Okay. They're they look like little potatoes. Some of them would be this big round, and most of them are bought like this, and, they're the ones that grow here are kind of transparent. And when you chew them all, they get this sweet because they're so starchy and the saliva changes to sugar. And the kids just loved it.",00;52;28;11
Lora Albright,00:52:28,"And that's a wonderful regulator. I've always said anybody that would eat my dandelion but salad in my artichokes never would have any trouble, because to put it.",00;52;41;08
Sam Schrager,00:52:41,"These, the use of these plants now, did that include plans for, for definite medicinal, curative purposes to work with other plants?",00;52;52;11
Lora Albright,00:52:52,"I, I don't like to say yes, they use them now. How efficient they were, I know that,",00;53;00;03
Sam Schrager,00:53:00,"Well, that's another question.",00;53;01;14
Lora Albright,00:53:01,"Yeah, that's another question. It would depend on the person that was doing it and how thoroughly. Now they made a out of yarrow. And you know what Yarrow is. And, personally, I couldn't stomach it to save my soul. I mean, it's one of those things. But if you're sick enough on to this, why you take what's given to you and you get well in spite of it as well as because of it.",00;53;25;21
Lora Albright,00:53:25,"Sometimes I mean, and I, I don't like to go into this because I, I'm not I don't feel that I am qualified by trial and error method because I did mine through.",00;53;39;25
Sam Schrager,00:53:39,"Well, in this case, you just reporting what, what other people used. And I'm curious about that because, it's very hard to find out about, you know, as far as there's just so little remembrance of it anymore. You know.",00;53;51;28
Lora Albright,00:53:52,"This this is true. Well, I'm just wondering, how,",00;54;02;26
Lora Albright,00:54:02,"The laxative that they all use, you know, Hambach. And, that is effective. Believe me. And then, the whole grains, very often I have boiled the wheat, and I, I learned to make the harmony out of the yellow dead corn. And these are real good foods that you give for coals that are that are feverish and cold.",00;54;27;21
Lora Albright,00:54:27,"You can you can eat these and rice when sometimes with the, the others, your fever would just get worse, you know, I mean, you have to kind of, and I, I don't like to go on record this because, as I say, sometimes I think people got well, in spite of instead of because of,",00;54;48;06
Sam Schrager,00:54:48,"Were these cures, are these these plants are used by, everyone around here? It wasn't mostly the, certain people, only certain people that that would use.",00;55;00;22
Lora Albright,00:55:00,"Yes. The, the Virginia people, for instance. Particularly had this knowledge that they brought with them. And then, my own, father in law and mother in law, my mother in law was bohemian, and, she was she was born in Waseca, Wisconsin, of this bohemian and Katherine, her mother, that was a bound girl that a family brought from Germany.",00;55;33;00
Lora Albright,00:55:33,"And Bohemia with them. She was an orphan and orphans. And those times were had a real difficult whole row to hoe. And Catherine, this little Catherine, was bound to this family. That meant that she just simply was enslaved by the family. They just took her over and and worked her and gave her Borden bed and and they but she became a member of the family, and they brought her west with them and into the Moscow area, you see.",00;56;03;09
Lora Albright,00:56:03,"And she was married and raised the family and among them my my mother in law. And since she was a Lusk Lusk, because this, Lusk was a bohemian painter that came in to the Spokane Valley and Spokane was Spokane Falls, you know, Post Falls and, they were building the university. And then my father in law, who was a handsome young devil and a painter house painter, he decided he'd come down to the university and get himself a job.",00;56;41;26
Lora Albright,00:56:41,"And he did. And he met my mother in law and got married, and they came down and bought this exemption, approved up on a homestead in the canyon that's this is the other farm, the other side of the family history. And of course, they found a lot of of the, Indian things like the you notice the little clumps of these beautiful yellow sunflowers that's, all over.",00;57;11;26
Lora Albright,00:57:11,"But the Indians eat that early in the spring, like, like celery.",00;57;17;15
Sam Schrager,00:57:17,The root.,00;57;18;04
Lora Albright,00:57:18,"No, the little sprouts that came up from the sprout. And I never could do this, but they they used it as a cleansing purge, too. So you kind of absorb some of these things, you know? And so. But I, I wouldn't like to be I wouldn't like to say because I, I and my grandmother had did some, some things, but she based hers on camphor.",00;57;45;15
Lora Albright,00:57:45,"If she had alcohol and camphor, she could cure everything from the toothache to malaria fever.",00;57;51;06
Sam Schrager,00:57:51,"Well, we mentioned a few of these things, and some some time we can say you don't put any stock. And particularly. But I think that that all the information about about the early, you know, the use of plants is important.",00;58;05;28
Lora Albright,00:58:06,"I didn't use too many of them, but, hops. I remember my grandmother used to make, poultice of hops. And you have a real congested cold, you know, on you. Well, I think maybe the hot steam was just as good, but she had the hops, and so she put them in. I can remember one time that, I was about 16.",00;58;30;11
Lora Albright,00:58:30,"I was in trouble, and I didn't have any yeast. And grandmother says, well, I, we got the dried hops up there. We'll go make some. So we got that's when I learned that these comes from hops.",00;58;43;18
Sam Schrager,00:58:43,"No. Talking about sickness,",00;58;47;29
Lora Albright,00:58:48,Would you have a some more of that.,00;58;49;20
Sam Schrager,00:58:49,"Like, like if it's, well.",00;58;53;07
Lora Albright,00:58:53,"You since I have been there has been, county doctor, available, I mean, information available if you really. You want to hold it back. I was gonna say, put your finger in the. Okay. That's it. But. When it come to, giving birth, those families up, there are very few of them. Had ever thought of going to, to a hospital?",00;59;26;26
Lora Albright,00:59:26,"You always had your births at home. And, most of the time, my grandmother I know was a midwife. She was a, natural nurse or less a general nurse. And, she taught me the things that I knew. And I never went to the hospital for any of my children. I had them at home, and I went to her house to have them.",00;59;53;02
Lora Albright,00:59:53,"Just because I don't know who's listening to all this. And, we helped each other. We helped each other. The last time that I called on the coming Doctor, for instance, we had this woman up on the hill. Up on these hills, and she'd had a miscarriage. She had had a miscarriage. And there they were. Was, little, little kids.",01;00;22;20
Lora Albright,01:00:22,"I mean, there were youngsters and, her husband, who was very inadequate. Most, farm husbands can. But for some reason he couldn't. And so I didn't want to take the responsibility. And I called the, the doctor and he said, oh, Isabel, I, I don't know how you get up there. Will you take me there? And I said, yes, I will.",01;00;46;01
Lora Albright,01:00:46,"So he didn't get there until after he closed his office in Lewes and then he came out here and it was just dusk, and we had to walk up the hill because the a car wouldn't, couldn't get up there. And when we get up there, why the woman was ill and, the fetus had, was dead and, she hadn't been cleaned up and I had I had thought that this might happen.",01;01;10;11
Lora Albright,01:01:10,"So I had taken my sheets and an old blanket that I had, and I thought, well, if we had done, I was feeling sorry for the doctor because he really didn't have to come. You see, a county doctor is for county patients only, but because I called, he did come. And when we went up there, we found out that, she had had the miscarriage, that she had aborted.",01;01;31;06
Lora Albright,01:01:31,"And the, the fetus was immature. And so nature, for some reason, you see, had chosen to not finish that pregnancy. And so the doctor had to do a courage, you know, to clean up the vagina in the womb. You know how this goes. And, I, he asked me if if I could help him. And I said, well, look, I have had no experience, but I can follow directions now.",01;02;00;16
Lora Albright,01:02:00,"The first thing you will want will be some hot water. And I the husband was there and I said, do you have a teakettle? And he said, oh, yes. And he said, and it's got hot water in it. So we boil the water. And then I went out and sterilized, a funny looking old, wash basin. You see that there was no there's no electricity or no running water up there at all.",01;02;20;03
Lora Albright,01:02:20,"And a wash basin outside on the porch. And was people just washing? Well. And, you see, you could get into trouble here. So we have done this to help each other, to help each other and and it still is done. It still is done. When my nephew, one of my nephews, the baby came on my sister in law's, she's like, oh, what am I going to do?",01;02;43;27
Lora Albright,01:02:43,"What am I going to do? And I says, well, at the baby, calm down. I says, we'll just take care of it. And so there he was. He was one up in the court and I just loosened the cord. But I didn't cut it because I, I wasn't sure, for instance, if I had known I was going to, to do it, I would have had the sterilized silk cords.",01;03;01;14
Lora Albright,01:03:01,"You know how you do that? Calls. I don't know how much you know, but you you tie it real tightly because the blood is pulsing through this cord. You see the umbilical cord, and then you just take and wipe it off, and that's all there is to it. But, they had called the doctor and he was supposed to be on his way up to Lewiston, but he just got waylaid.",01;03;21;06
Lora Albright,01:03:21,"And so I loosened the cord on the baby's neck and then just wrapped him in a blanket, and he and his mother just laid there and all that. Well, until the doctor came. And when the doctor came by, my mother in law was in there, and he thought that she had delivered the baby. You know, she says, well, you did a real good job, as you didn't help me any time.",01;03;38;08
Lora Albright,01:03:38,"And, my mother in law blinked because she was kind of old fashioned and she didn't know what she wanted to talk to a man about things like this. That was that way or not. Don't you know that old feeling that they have? And she says, oh, she says, my other daughter in law did it. Oh. He said, well, fine.",01;03;52;16
Lora Albright,01:03:52,"So what do you come out? He patted me on the shoulder and he says, okay. He said, I'll remember this, you know, and things like this. Well, now, if my grandmother hadn't, if I hadn't have had my babies in her house under her direction, you see, I wouldn't have known these things. I wouldn't have known anything about it.",01;04;11;07
Lora Albright,01:04:11,"And, so we help each other and, I have help in birth. But nowadays, you know, I they can the county will even pay for taking them to the hospital. And I can see a doctor's, why they should be there. Because they've got their equipment there and they've got for it. They can meet any emergency there.",01;04;32;29
Lora Albright,01:04:32,"And this is better for them. And. Yeah, on the other hand, I have known of two cases of impetigo that was brought home from infections. They got in the hospital and they're they're coming back now to the thinking that the home delivery is just pretty nice. It isn't bad at all, especially in the towns where you can have your your.",01;04;52;02
Sam Schrager,01:04:52,"Own nurse around here and they in those first years that you were here in, in the early days around this country, they didn't call on a doctor unless they absolutely had to, did they?",01;05;03;14
Lora Albright,01:05:03,"Yes. And some of them didn't say them. Some of them did. But the people that I knew, especially if they wanted me to help, I would say, are we going to have a doctor if we're not going to have a doctor? I don't want to take the responsibility because I and I would make this excuse.",01;05;21;07
Lora Albright,01:05:21,"I haven't had experience enough to meet because I said our life is precious, and I would. I just couldn't do it. But I've had some tough experiences that.",01;05;58;27
Lora Albright,01:05:58,"Taught rural schools, because they were trying to save money or make money and save money to go on to college for business education or for some other reason. Or maybe a, an artistic one. There was one fellow that thought he could be a painter. An artist, I mean, and, but he got married and with the problems of marriage, he had to get work.",01;06;23;11
Lora Albright,01:06:23,"And actually, you've got to bring. You can't earn. It's one way you have to another. Which is too bad because we used to, draw, imaginary people on the blackboard, and it was amazing what he'd bring up. You could look at those characters, and you could just see the old reprobates and the whiny ones. I mean, he just had that knack of making a life.",01;06;47;05
Sam Schrager,01:06:47,If he ever had a chance to develop that town.,01;06;50;02
Lora Albright,01:06:50,"No, he had, as far as didn't do anything with it as far as I know.",01;06;56;17
Sam Schrager,01:06:56,"Well, what I, what I wanted to talk about specific women and opportunities that were open to them. You know, these days there's, in recent years, there's been a lot more concern about women having an equal chance and ability to to make, to have their own professions, their own careers, if they want to. And I wonder how, what the opinions were in those days and, and how you feel about it from back from back then, there was no.",01;07;31;14
Lora Albright,01:07:31,"There was two opportunities. Three opportunities. One was marriage and a home builder, which most girls naturally expected to do eventually. But teaching and nursing were the two main ones, especially the nursing, they were either teaching to the teaching because, the salary was low and most men could get more in fact, it used to irk me because, some of the teachers that weren't teaching any better than I was was getting anywhere from 25 to $30 a month more than I did.",01;08;05;26
Lora Albright,01:08:05,"And, men. Yeah, men and, I but I but the way they settle this was because a man usually is the breadwinner, you see, and has they're supposed to have more than the right to. The women are supposed to get married, live with their husbands, really earn. And that's one of the old adages we had was if she was, inefficient, was she could shovel more out the window than her husband could bring in the dollar.",01;08;32;14
Lora Albright,01:08:32,"You know, this these sort of adages, which was a native, intelligence, native wisdom coming up. And so most of us that wanted to have a good home, we were careful not to shovel more out, throw more out the window than our husbands could bring in the door. There. But, the Pioneer Woman, and don't mistake me carried a heavy burden, Sam, because she was expected to keep the house and the garden and oftentimes the milk cows and do all the milking.",01;09;11;21
Lora Albright,01:09:11,"And that meant, slopping the hogs because that was their meat. And the hogs was a a clean up force. I mean, they drank the extra milk and they ate the spoiled grain and they ate the spoiled extra squashes and you name it, and the things they did and then turned it into pork and, the things that a pioneer woman could do with pork, you wouldn't believe.",01;09;33;20
Lora Albright,01:09:33,"I mean, it was, they would salt and dry the beef at times. The jerky. When I came along, I can I can this meat. And I didn't have to do this, smoking and what have you and our men folks would butcher. It was true. And then we would take the carcasses down and have it done commercially because it was coming into them, and it was easier and my mother was not able to do it.",01;10;00;27
Lora Albright,01:10:00,"And I started teaching school, and I, I did this because I wanted to go to university, and I could have gone, but the sister next to me would have had to stay home to take care of my mother and to help raise the kids. And I felt that she ought to have her chance. And she she too, was a teacher.",01;10;16;06
Lora Albright,01:10:16,"All of our girls have been teachers, but one. And, when the twins were born, we had twin girls born. Mother was laid up for a long, long time and had her hands more than four, you see. And so, we had to learn to make a garden that first time hundred girls had done this and milk the cows, because we had two brothers that were older than we were.",01;10;39;22
Lora Albright,01:10:39,"And my father, who came from Maine, he felt that women's work was in the house. You understand that? She wasn't. If we had the milk, the cow. Good. But I didn't know I had a mouthful after I was married because the boys were always there to do it. But I take care of the milk after I got it, and turn the butter and even make the cheese.",01;10;57;07
Lora Albright,01:10:57,"But, nowadays, while it's done commercially, you know, and you don't have to do this.",01;11;03;12
Sam Schrager,01:11:03,"But the idea of, teaching was, was, it seemed by most of your contemporaries as. Yeah, simply a. Yeah way station before marriage.",01;11;15;02
Lora Albright,01:11:15,"Yes. When you say a way station, that means that you you coming to the station again? Wait, we didn't think about this, but it was our career. It was, an avenue for self-expression. And, but, when you're teaching, a rural school, I've never taught under a superintendent in a I. I got to the school at tickle and I thought it would be fun to go into it and teach under superintendent.",01;11;42;06
Lora Albright,01:11:42,"You wouldn't have all that. You know, you just have your classroom. But my mother became ill, and I had to go home. Or else the sister next to me could not have gone. You said you couldn't have gone to college. And so I went home and took care of my mother with the the babies that she had. She was bedridden.",01;12;00;08
Lora Albright,01:12:00,"And my father, had fallen. And the reason that he was here, he was, a trusted employee of the, woods department of the warehouse or people in Wisconsin. But because of those that you've heard of, that terrible, fire they had. Well, then he was invalided home. So it was a real touchy situation there. But, while I was there, I learned skills, I learned how to work, and I learned how to apply my energies to the best advantage.",01;12;36;02
Lora Albright,01:12:36,"I learned to cooperate. While you've got the oven waiting to bake bread, while you bake your gingerbread and your cakes and your cookies, and you get it all done out there and and, I mean, you learn housekeeping skills because eventually I think every girl wants to be married and have her own home and her own man and her own children and, the better house, not housekeeper, homemaker.",01;13;05;09
Lora Albright,01:13:05,I've never been an A-1 housekeeper because.,01;13;12;23
Lora Albright,01:13:12,"My mother in law wouldn't let my father in law come into the parlor and smoke his pipe, because it would get tobacco smoke on her curtains. And, I have seen him come in wet and tired, and he would lay down behind the little heater stove that was in the corner, and he would be just fluctuating in that heat.",01;13;32;12
Lora Albright,01:13:32,"You know, he didn't have central heating. It was just so warm. And he was drying off, and he would sleep there, and he was so comfortable. And then his wife would come in and make him get up off the floor. Ride was only animals that slept on the floor and give lay on the couch. Whether he was a lay up.",01;13;48;16
Lora Albright,01:13:48,"And so my homemaking is, the easy, probably one to lay on the floor by going to lay on the floor. It was his floor. And why couldn't he lay on? And I'd give a pillow and help him. Just the difference in, as you see, because, her I knew all the time that I was a good American because my family was brought up and I was brought up in a Christian home, and, the man of the house is the head, but, oh, the women are the next.",01;14;18;20
Lora Albright,01:14:18,And they do an awful lot of turning.,01;14;23;05
Lora Albright,01:14:23,I would like to meet your wife sometime. I'd like you to. We'll have real fun. What does she do.,01;14;28;15
Sam Schrager,01:14:28,When she she now? When she's,01;14;31;08
Lora Albright,01:14:31,"I've done lots of speaking in through church and through, other connections. And the women's libbers that come out. Oh, boy, would they like to have me be a woman libber. And I said, well, I don't have to have been a free woman all my life. And they look at me, you know, because they know I've done a man's work on the fields and all this sort of thing.",01;14;51;20
Lora Albright,01:14:51,"And, and I'd say, because when a woman is doing what she wants to do and they said, well, did you want to go out and hoe corn for a year and do these heavy work? You know, and I'll say, yes, I wanted to. If I hadn't wanted to, I wouldn't have. And they said, well, how would you how would you not done it?",01;15;08;25
Lora Albright,01:15:08,"I said, well, I'd do like the rest of them. I'd just got me a divorce and gotten some other way, I said. But because I wanted to be married to Raleigh and because I appreciated him and because, he has been a wonderful husband and father and all of this. And I want to stay here, I, I could have gone on teaching, but I didn't want to do that.",01;15;28;10
Lora Albright,01:15:28,"I wanted to get married and have a family. And I said, I've been a free woman all my life because I'm doing what I want to do. And they said, well, you have to do some things. And I said, sure. So do you. You have to get up and put your clothes on the morning and you have to get something to eat.",01;15;41;28
Lora Albright,01:15:41,"And I said, you have to eat it and wash your dishes.",01;15;45;14
Sam Schrager,01:15:45,And you I want to ask you a question. I want to ask you something about this. Do you feel that that in the early days that that there were many women who didn't have a chance to to do what they want? Yes. To realize what they could have?,01;16;01;13
Lora Albright,01:16:01,"Yes. Many times, Sam, just like now, because, for instance, many, many girls could not go to go to college, let's say, or go to school or, or study to be a teacher. Maybe she they would like to, but because the father said, look, you stay home and do this and that and the other and then, in my own experience and my own circle of friends, I didn't have any of this, except in one case where a father's ambition to consolidate 2 or 3 farms.",01;16;39;14
Lora Albright,01:16:39,"And he made his daughter because she was a lovely girl. She was a pretty girl. And because the the other family, one was social climbers. And so they arranged a marriage for her. Well, now, this is unusual because most of the friends I had, were free. They could marry who they wanted to, just like me. I, as I said, I was engaged to a doctor, and and, when I met Raleigh, I decided that this doctor.",01;17;06;06
Lora Albright,01:17:06,"Sam. I'll tell you what really did it. He was a fibber. And he didn't. A lie, I guess, is a lie, no matter what it is. But to get himself out of the jackpot, to get his own way, or to, put another person down or, just something he wasn't above, stretching the truth, embroidering the truth.",01;17;30;00
Lora Albright,01:17:30,"And to me, it was totally unacceptable. Totally unacceptable. And, I knew because I grew up early and and, took responsibility early that, the man I married, I had to not only respect and as well as to love my, You see, my headline is right on top of my hard line. So I've always used my head, and I decided.",01;18;00;07
Lora Albright,01:18:00,"And so when Raleigh came along and my life, I realized that, he was getting pretty serious about me. And I had to do something about the engagement that I had, and and, Raleigh was a peddler. A vegetable peddler. Have I told you this? Maybe I did, yeah.",01;18;23;29
Sam Schrager,01:18:23,You mentioned to me.,01;18;24;22
Lora Albright,01:18:25,"And my folks were very unhappy with their daughter marrying a vegetable peddler. And, I had to go home, and, my birthday's the 23rd of March, and it happened to be on a, Easter Sunday that year. And so I went home to talk to them, and I. So I talked to my father and my mother.",01;18;48;05
Lora Albright,01:18:48,"I was upset with my father because he was the horseman, you know, and I had this quality of handling horses. And so we were I drove a six horse team while he broke up some land and so on and so forth. So I talked to them and I said, I do not want to be a doctor's wife, and I do want to marry Raleigh Albright.",01;19;07;20
Lora Albright,01:19:07,"He is ill, he is hurt. He is a mechanic. I think that, he will not be able to work as a mechanic anymore and lay on the hard concrete. He has, started on our homestead, and we have a 14 by 16ft, tar paper shack, and I want to get married. Move into it. And my father passed up and.",01;19;34;18
Lora Albright,01:19:34,"But I'll tell you what happened. Raleigh was smart enough to realize that, there might be this feeling. And so one day, he says, I'll come and go with me and see what I do. I knew that he was taking. You see here he had these trucks, these ton trucks and what have you. And he was taking a ton of stuff and going up through dairy.",01;19;54;06
Lora Albright,01:19:54,"Kendrick dry, you name it. All these little towns up there where they couldn't get it. And up at Bovill, there were people up there. The, Simplot works were just coming to the that Clay works were just being. And then there was still lots of logging up there. And these women were up there in tents with their children living out there in tents.",01;20;16;24
Lora Albright,01:20:16,"And I just felt so sorry for them. And so I said, okay, I'll, I'll go with you. And he says, come and see what I do. And I went with Raleigh. And the first stop we made was in Troy, and he had this and the tomatoes, more work, and she had the tomatoes packed, and we had the radishes, and we had the onions and we had the spinach and you name it, there was corn.",01;20;39;18
Lora Albright,01:20:39,"And Lord knows about it all. There was even melons, because it was in the fall, you see. And this was getting long toward the last of October. And he went up in the middle of that town. And there's four streets that come this way, you know, and, here come this old truck up there. And he turned around, and you should have seen the women come.",01;20;58;03
Lora Albright,01:20:58,"They just came from all over, and they had the best time going over there. Rather say, well, now come up here. You're supposed to uncover this, you know, and here at all of us. And they take all this and they would get around and he'd take it 25 or $30 at this stuff, you know, they would get this beautiful, fresh stuff.",01;21;14;15
Lora Albright,01:21:14,"Well, we stopped at one of these homes on and this woman had a sick child up there, and she, she wasn't very happy with her situation. And, she bought some things and paid for them. And when really, we were on our way to Bovill and before we got there, he said, gosh, I, I cheated that one out of a nickel.",01;21;41;21
Lora Albright,01:21:41,"And he kind of slowed up. And I said, well, you know, so what? And and he said, well, I suppose I ought to go back, since she's probably found out, you know, I thought about it and I said, well, you've still got your load. Why don't you at least get rid of your load number? You stop on the way back and he says, okay, I will.",01;21;59;06
Lora Albright,01:21:59,"Well, we went on to, oh, what's the other, the little town clerk. Yeah, that's out there somewhere. I've never been back since. And, it was getting dusk and he said, I don't want to miss that road where we turn off. He said, we want to go. And I said, what do you have to do? You know, tonight, I mean, it'll be late.",01;22;17;25
Lora Albright,01:22:17,"It'll be real dark when we get home. Yes. He said, she'll be unhappy, I'm sure she knows and says maybe when her husband comes home or he might give her a bed. I know, he says we'll finish up. This is in the days. And so he made this special trip of ten miles to pay that woman back in full.",01;22;34;02
Lora Albright,01:22:34,"And she had missed it. She had missed it. And she was upset, Sam. And she was so relieved. She just that she wiped the tears away. She says, oh, Mr.. All right. I just can't tell you what this means. And thank you so much for coming. And she says, do come again. So everything was nice. That old guy, that's the man I want for the father of my children, anybody that is that concerned and that would do that.",01;22;58;11
Lora Albright,01:22:58,"And of course, then before the next May, why he had proved himself so many ways that I, no wonder I fell in love with him. And I broke that other engagement. Who would live with a man that would tell fibs all the time when you could live with a man like that? And people think that's crazy, like a down there and who you live now and giving this, this, he said something the other day, Sam, that maybe I shouldn't share this with you, but cash check.",01;23;27;10
